categoria,indice,icone,arquivo,tamanho,formato
04_materiais_uv_pintura,5,costuras_uv,04_materiais_uv_pintura/05_costuras_uv.png,64x64,PNG RGBA
04_materiais_uv_pintura,6,empacotar_ilhas_uv,04_materiais_uv_pintura/06_empacotar_ilhas_uv.png,64x64,PNG RGBA
04_materiais_uv_pintura,7,mover_uv,04_materiais_uv_pintura/07_mover_uv.png,64x64,PNG RGBA
04_materiais_uv_pintura,8,pincel_pintura,04_materiais_uv_pintura/08_pincel_pintura.png,64x64,PNG RGBA
04_materiais_uv_pintura,9,preencher_pintura,04_materiais_uv_pintura/09_preencher_pintura.png,64x64,PNG RGBA
04_materiais_uv_pintura,10,conta_gotas,04_materiais_uv_pintura/10_conta_gotas.png,64x64,PNG RGBA
04_materiais_uv_pintura,11,normal_map,04_materiais_uv_pintura/11_normal_map.png,64x64,PNG RGBA
04_materiais_uv_pintura,12,roughness_rugosidade,04_materiais_uv_pintura/12_roughness_rugosidade.png,64x64,PNG RGBA
04_materiais_uv_pintura,13,displacement_altura,04_materiais_uv_pintura/13_displacement_altura.png,64x64,PNG RGBA
04_materiais_uv_pintura,14,camadas,04_materiais_uv_pintura/14_camadas.png,64x64,PNG RGBA
04_materiais_uv_pintura,15,mascara,04_materiais_uv_pintura/15_mascara.png,64x64,PNG RGBA
04_materiais_uv_pintura,16,ruido_procedural,04_materiais_uv_pintura/16_ruido_procedural.png,64x64,PNG RGBA
05_camera_viewport_luz_render,1,vista_perspectiva,05_camera_viewport_luz_render/01_vista_perspectiva.png,64x64,PNG RGBA
05_camera_viewport_luz_render,2,vista_ortografica,05_camera_viewport_luz_render/02_vista_ortografica.png,64x64,PNG RGBA
05_camera_viewport_luz_render,3,layout_quatro_vistas,05_camera_viewport_luz_render/03_layout_quatro_vistas.png,64x64,PNG RGBA
05_camera_viewport_luz_render,4,camera,05_camera_viewport_luz_render/04_camera.png,64x64,PNG RGBA
05_camera_viewport_luz_render,5,camera_alvo,05_camera_viewport_luz_render/05_camera_alvo.png,64x64,PNG RGBA
05_camera_viewport_luz_render,6,luz_spot,05_camera_viewport_luz_render/06_luz_spot.png,64x64,PNG RGBA
05_camera_viewport_luz_render,7,luz_sol,05_camera_viewport_luz_render/07_luz_sol.png,64x64,PNG RGBA
05_camera_viewport_luz_render,8,luz_area,05_camera_viewport_luz_render/08_luz_area.png,64x64,PNG RGBA
05_camera_viewport_luz_render,9,render,05_camera_viewport_luz_render/09_render.png,64x64,PNG RGBA
05_camera_viewport_luz_render,10,preview_render_interativo,05_camera_viewport_luz_render/10_preview_render_interativo.png,64x64,PNG RGBA
05_camera_viewport_luz_render,11,hierarquia_cena,05_camera_viewport_luz_render/11_hierarquia_cena.png,64x64,PNG RGBA
05_camera_viewport_luz_render,12,camadas_cena,05_camera_viewport_luz_render/12_camadas_cena.png,64x64,PNG RGBA
05_camera_viewport_luz_render,13,visibilidade,05_camera_viewport_luz_render/13_visibilidade.png,64x64,PNG RGBA
05_camera_viewport_luz_render,14,solo_isolar,05_camera_viewport_luz_render/14_solo_isolar.png,64x64,PNG RGBA
05_camera_viewport_luz_render,15,grade_mundo,05_camera_viewport_luz_render/15_grade_mundo.png,64x64,PNG RGBA
05_camera_viewport_luz_render,16,gizmo_eixos,05_camera_viewport_luz_render/16_gizmo_eixos.png,64x64,PNG RGBA
06_animacao_rig_simulacao,1,timeline,06_animacao_rig_simulacao/01_timeline.png,64x64,PNG RGBA
06_animacao_rig_simulacao,2,keyframe,06_animacao_rig_simulacao/02_keyframe.png,64x64,PNG RGBA
06_animacao_rig_simulacao,3,dopesheet_tracks,06_animacao_rig_simulacao/03_dopesheet_tracks.png,64x64,PNG RGBA
06_animacao_rig_simulacao,4,editor_curvas,06_animacao_rig_simulacao/04_editor_curvas.png,64x64,PNG RGBA
06_animacao_rig_simulacao,5,reproduzir_animacao,06_animacao_rig_simulacao/05_reproduzir_animacao.png,64x64,PNG RGBA
06_animacao_rig_simulacao,6,osso_junta,06_animacao_rig_simulacao/06_osso_junta.png,64x64,PNG RGBA
06_animacao_rig_simulacao,7,cadeia_ik,06_animacao_rig_simulacao/07_cadeia_ik.png,64x64,PNG RGBA
06_animacao_rig_simulacao,8,skin_bind,06_animacao_rig_simulacao/08_skin_bind.png,64x64,PNG RGBA
06_animacao_rig_simulacao,9,weight_paint,06_animacao_rig_simulacao/09_weight_paint.png,64x64,PNG RGBA
06_animacao_rig_simulacao,10,controlador_null,06_animacao_rig_simulacao/10_controlador_null.png,64x64,PNG RGBA
06_animacao_rig_simulacao,11,constraint_restricao,06_animacao_rig_simulacao/11_constraint_restricao.png,64x64,PNG RGBA
06_animacao_rig_simulacao,12,cloth_tecido,06_animacao_rig_simulacao/12_cloth_tecido.png,64x64,PNG RGBA
06_animacao_rig_simulacao,13,rigid_body,06_animacao_rig_simulacao/13_rigid_body.png,64x64,PNG RGBA
06_animacao_rig_simulacao,14,emissor_particulas,06_animacao_rig_simulacao/14_emissor_particulas.png,64x64,PNG RGBA
06_animacao_rig_simulacao,15,bake_cache,06_animacao_rig_simulacao/15_bake_cache.png,64x64,PNG RGBA
06_animacao_rig_simulacao,16,morph_target,06_animacao_rig_simulacao/16_morph_target.png,64x64,PNG RGBA
